name;market_value;position;injury_tolerance;extrafield_factor;overall
Oliver Tsubasa;40;Striker;3;6;83
Christian Eriksen;70;Midfielder;4;2;87
Samuel Umtiti;30;Center Back;2;3;85
Arthur;20;Midfielder;2;2;85
Thiago Alcantara;50;Midfielder;5;1;86
Fabinho;60;Midfielder;1;3;86
Ciro Immobile;30;Striker;1;4;87
Gerard Pique;30;Center Back;3;2;88
Alisson;80;Goalkeeper;2;3;90
Casemiro ;20;Midfielder;4;1;89
Neuer;40;Goalkeeper;1;2;89
Muller;50;Striker;3;1;86
Sane;40;Striker;5;2;86
Davies;30;Midfielder;1;3;82
Cassio;60;Goalkeeper;3;7;82
Walter Kannemann;30;Center Back;3;3;81
Gerson;60;Midfielder;1;5;79
Everton;70;Striker;2;2;83
Toni Kroos;60;Midfielder;4;1;88
Kevin de Bruyne;40;Midfielder;4;6;92
